fixture,p_panel,classical_pools_shared_across_p,prefix,analytical_p_at_least_one_opt_uniform,p_opt_uniform_single_draw,uniform_opt_hit,uniform_contains_opt,k3_opt_hit,hardware_opt_hit,hardware_n_blocks,exact_enumeration_opt_hit,greedy_selected_utility,exact_optimum,sample_origin,analysis_type
D6,1,True,4,0.1192617416381836,0.03125,"{""mean"": 0.046875, ""n"": 32, ""stdev"": 0.11587810136086973}","{""mean"": 0.15625, ""n"": 32, ""stdev"": 0.3630921887069453}","{""mean"": 0.0546875, ""n"": 32, ""stdev"": 0.10334966058846057}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,2,True,4,0.1192617416381836,0.03125,"{""mean"": 0.046875, ""n"": 32, ""stdev"": 0.11587810136086973}","{""mean"": 0.15625, ""n"": 32, ""stdev"": 0.3630921887069453}","{""mean"": 0.0546875, ""n"": 32, ""stdev"": 0.10334966058846057}","{""mean"": 0.08333333333333333, ""n"": 6, ""stdev"": 0.11785113019775792}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,1,True,16,0.3982896965679277,0.03125,"{""mean"": 0.03515625, ""n"": 32, ""stdev"": 0.044021201834315016}","{""mean"": 0.4375, ""n"": 32, ""stdev"": 0.49607837082461076}","{""mean"": 0.109375, ""n"": 32, ""stdev"": 0.0625}","{""mean"": 0.052083333333333336, ""n"": 6, ""stdev"": 0.0429490169335173}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,2,True,16,0.3982896965679277,0.03125,"{""mean"": 0.03515625, ""n"": 32, ""stdev"": 0.044021201834315016}","{""mean"": 0.4375, ""n"": 32, ""stdev"": 0.49607837082461076}","{""mean"": 0.109375, ""n"": 32, ""stdev"": 0.0625}","{""mean"": 0.052083333333333336, ""n"": 6, ""stdev"": 0.056095466740984416}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,1,True,64,0.868915967521525,0.03125,"{""mean"": 0.02880859375, ""n"": 32, ""stdev"": 0.0195739279812768}","{""mean"": 0.875, ""n"": 32, ""stdev"": 0.33071891388307384}","{""mean"": 0.09326171875, ""n"": 32, ""stdev"": 0.03185076222128991}","{""mean"": 0.049479166666666664, ""n"": 6, ""stdev"": 0.016674802701648044}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,2,True,64,0.868915967521525,0.03125,"{""mean"": 0.02880859375, ""n"": 32, ""stdev"": 0.0195739279812768}","{""mean"": 0.875, ""n"": 32, ""stdev"": 0.33071891388307384}","{""mean"": 0.09326171875, ""n"": 32, ""stdev"": 0.03185076222128991}","{""mean"": 0.046875, ""n"": 6, ""stdev"": 0.028527216536727403}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,1,True,256,0.9997047437009647,0.03125,"{""mean"": 0.0291748046875, ""n"": 32, ""stdev"": 0.010697009713352426}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.1005859375, ""n"": 32, ""stdev"": 0.01547165968530748}","{""mean"": 0.059244791666666664, ""n"": 6, ""stdev"": 0.012022256062903247}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,2,True,256,0.9997047437009647,0.03125,"{""mean"": 0.0291748046875, ""n"": 32, ""stdev"": 0.010697009713352426}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.1005859375, ""n"": 32, ""stdev"": 0.01547165968530748}","{""mean"": 0.0625, ""n"": 6, ""stdev"": 0.016572815184059706}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,1,True,1024,0.9999999999999925,0.03125,"{""mean"": 0.030029296875, ""n"": 32, ""stdev"": 0.005161712527311029}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.1002197265625, ""n"": 32, ""stdev"": 0.008066806737088272}","{""mean"": 0.060872395833333336, ""n"": 6, ""stdev"": 0.005485774591911692}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,2,True,1024,0.9999999999999925,0.03125,"{""mean"": 0.030029296875, ""n"": 32, ""stdev"": 0.005161712527311029}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.1002197265625, ""n"": 32, ""stdev"": 0.008066806737088272}","{""mean"": 0.061360677083333336, ""n"": 6, ""stdev"": 0.00536122040755228}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
